Wilayah,,,
,Total Population by Sex and Regency/Municipality of Jawa Timur Province (People),,
,L,P,L+P
,2024,2024,2024
Jawa Timur,20848630,20965869,41814499
Kabupaten Pacitan,295518,293051,588569
Kabupaten Ponorogo,479744,483197,962941
Kabupaten Trenggalek,373119,371397,744516
Kabupaten Tulungagung,557184,556663,1113847
Kabupaten Blitar,635170,628475,1263645
Kabupaten Kediri,852724,837192,1689916
Kabupaten Malang,1375115,1360878,2735993
Kabupaten Lumajang,566429,579420,1145849
Kabupaten Jember,1297012,1306805,2603817
Kabupaten Banyuwangi,876995,877398,1754393
Kabupaten Bondowoso,390641,401668,792309
Kabupaten Situbondo,344332,356387,700719
Kabupaten Probolinggo,584937,600305,1185242
Kabupaten Pasuruan,828885,828331,1657216
Kabupaten Sidoarjo,1090869,1080611,2171480
Kabupaten Mojokerto,580161,574096,1154257
Kabupaten Jombang,686708,675989,1362697
Kabupaten Nganjuk,568657,563120,1131777
Kabupaten Madiun,374897,382942,757839
Kabupaten Magetan,337110,348390,685500
Kabupaten Ngawi,437844,446242,884086
Kabupaten Bojonegoro,664681,660618,1325299
Kabupaten Tuban,611535,613670,1225205
Kabupaten Lamongan,689083,689064,1378147
Kabupaten Gresik,686580,677439,1364019
Kabupaten Bangkalan,544702,557820,1102522
Kabupaten Sampang,505148,511106,1016254
Kabupaten Pamekasan,435117,449580,884697
Kabupaten Sumenep,558957,594231,1153188
Kota Kediri,149530,148697,298227
Kota Blitar,76843,78024,154867
Kota Malang,433643,439051,872694
Kota Probolinggo,123856,125683,249539
Kota Pasuruan,109740,109652,219392
Kota Mojokerto,68066,69327,137393
Kota Madiun,98753,103014,201767
Kota Surabaya,1446305,1475691,2921996
Kota Batu,112040,110645,222685
