Provinsi,Number of General Hospital,Number of Specialized Hospital,Number of Public Health Center with Inpatient Care,Number of Public Health Center without Inpatient Care,Number of Primary Clinic,Number of Integrated Health Post
Aceh,64,6,181,178,...,...
Sumatera Utara,195,25,188,420,...,...
Sumatera Barat,49,30,111,165,...,...
Riau,59,15,102,129,...,...
Jambi,38,4,88,119,...,...
Sumatera Selatan,68,18,113,230,...,...
Bengkulu,22,2,52,127,...,...
Lampung,59,21,140,172,...,...
Kepulauan Bangka Belitung,21,4,26,38,...,...
Kepulauan Riau,30,6,35,53,...,...
DKI Jakarta,141,51,6,309,...,...
Jawa Barat,309,67,299,784,...,...
Jawa Tengah,267,43,371,507,...,...
DI Yogyakarta,60,23,49,72,...,...
Jawa Timur,302,90,575,393,...,...
Banten,85,34,81,164,...,...
Bali,65,12,41,79,...,...
Nusa Tenggara Barat,34,5,142,32,...,...
Nusa Tenggara Timur,50,3,164,246,...,...
Kalimantan Barat,45,9,129,117,...,...
Kalimantan Tengah,24,3,86,119,...,...
Kalimantan Selatan,38,8,52,184,...,...
Kalimantan Timur,45,11,98,89,...,...
Kalimantan Utara,11,...,22,33,...,...
Sulawesi Utara,43,6,95,100,...,...
Sulawesi Tengah,35,5,104,103,...,...
Sulawesi Selatan,86,28,304,157,...,...
Sulawesi Tenggara,36,1,91,201,...,...
Gorontalo,15,1,26,67,...,...
Sulawesi Barat,11,1,60,36,...,...
Maluku,30,1,64,151,...,...
Maluku Utara,20,1,53,94,...,...
Papua Barat,20,...,45,116,...,...
Papua,46,2,126,302,...,...
Indonesia,2423,536,4119,6086,...,...
,,,,,,
Keterangan,,,,,,
<sup>1</sup>Puskesmas yang teregistrasi/<i>Registered Public Health Center</i>,,,,,,
