wilayah,rs_umum,rs_khusus,puskesmas_rawat_inap,puskesmas_non_rawat_inap,klinik_pratama,posyandu,tahun
Pacitan,3.0,0.0,15,9,18.0,861.0,2022
Ponorogo,7.0,0.0,19,13,53.0,1137.0,2022
Trenggalek,3.0,1.0,19,3,19.0,865.0,2022
Tulungagung,10.0,3.0,17,15,52.0,1239.0,2022
Blitar,8.0,0.0,16,9,26.0,1385.0,2022
Kediri,9.0,2.0,8,29,61.0,1717.0,2022
Malang,24.0,2.0,39,0,115.0,2888.0,2022
Lumajang,8.0,0.0,25,0,35.0,1310.0,2022
Jember,12.0,2.0,46,4,106.0,2895.0,2022
Banyuwangi,13.0,0.0,18,27,71.0,2325.0,2022
Bondowoso,4.0,0.0,25,0,20.0,1104.0,2022
Situbondo,6.0,3.0,17,3,20.0,945.0,2022
Probolinggo,5.0,1.0,20,13,23.0,1349.0,2022
Pasuruan,10.0,1.0,17,16,70.0,1934.0,2022
Sidoarjo,26.0,7.0,14,17,201.0,1866.0,2022
Mojokerto,12.0,0.0,17,10,58.0,1286.0,2022
Jombang,13.0,2.0,20,14,42.0,1592.0,2022
Nganjuk,4.0,0.0,14,6,39.0,1292.0,2022
Madiun,3.0,0.0,10,16,11.0,877.0,2022
Magetan,3.0,3.0,19,3,17.0,904.0,2022
Ngawi,5.0,0.0,21,3,21.0,1225.0,2022
Bojonegoro,10.0,1.0,26,9,34.0,1656.0,2022
Tuban,6.0,0.0,8,25,37.0,1417.0,2022
Lamongan,18.0,2.0,31,1,67.0,1750.0,2022
Gresik,20.0,1.0,16,16,105.0,1516.0,2022
Bangkalan,3.0,5.0,21,1,18.0,1160.0,2022
Sampang,5.0,0.0,21,1,19.0,1055.0,2022
Pamekasan,6.0,2.0,21,0,30.0,998.0,2022
Sumenep,5.0,1.0,31,0,20.0,1493.0,2022
Kota Kediri,9.0,4.0,3,6,43.0,307.0,2022
Kota Blitar,5.0,1.0,0,3,24.0,108.0,2022
Kota Malang,16.0,13.0,0,16,115.0,644.0,2022
Kota Probolinggo,4.0,1.0,2,4,26.0,219.0,2022
Kota Pasuruan,2.0,0.0,0,8,26.0,278.0,2022
Kota Mojokerto,6.0,0.0,0,6,24.0,176.0,2022
