wilayah,rs_umum,rs_khusus,puskesmas_rawat_inap,puskesmas_non_rawat_inap,klinik_pratama,posyandu,tahun
Aceh,64.0,6.0,181.0,178.0,,,2020
Sumatera Utara,195.0,25.0,188.0,420.0,,,2020
Sumatera Barat,49.0,30.0,111.0,165.0,,,2020
Riau,59.0,15.0,102.0,129.0,,,2020
Jambi,38.0,4.0,88.0,119.0,,,2020
Sumatera Selatan,68.0,18.0,113.0,230.0,,,2020
Bengkulu,22.0,2.0,52.0,127.0,,,2020
Lampung,59.0,21.0,140.0,172.0,,,2020
Kepulauan Bangka Belitung,21.0,4.0,26.0,38.0,,,2020
Kepulauan Riau,30.0,6.0,35.0,53.0,,,2020
DKI Jakarta,141.0,51.0,6.0,309.0,,,2020
Jawa Barat,309.0,67.0,299.0,784.0,,,2020
Jawa Tengah,267.0,43.0,371.0,507.0,,,2020
DI Yogyakarta,60.0,23.0,49.0,72.0,,,2020
Jawa Timur,302.0,90.0,575.0,393.0,,,2020
Banten,85.0,34.0,81.0,164.0,,,2020
Bali,65.0,12.0,41.0,79.0,,,2020
Nusa Tenggara Barat,34.0,5.0,142.0,32.0,,,2020
Nusa Tenggara Timur,50.0,3.0,164.0,246.0,,,2020
Kalimantan Barat,45.0,9.0,129.0,117.0,,,2020
Kalimantan Tengah,24.0,3.0,86.0,119.0,,,2020
Kalimantan Selatan,38.0,8.0,52.0,184.0,,,2020
Kalimantan Timur,45.0,11.0,98.0,89.0,,,2020
Kalimantan Utara,11.0,,22.0,33.0,,,2020
Sulawesi Utara,43.0,6.0,95.0,100.0,,,2020
Sulawesi Tengah,35.0,5.0,104.0,103.0,,,2020
Sulawesi Selatan,86.0,28.0,304.0,157.0,,,2020
Sulawesi Tenggara,36.0,1.0,91.0,201.0,,,2020
Gorontalo,15.0,1.0,26.0,67.0,,,2020
Sulawesi Barat,11.0,1.0,60.0,36.0,,,2020
Maluku,30.0,1.0,64.0,151.0,,,2020
Maluku Utara,20.0,1.0,53.0,94.0,,,2020
Papua Barat,20.0,,45.0,116.0,,,2020
Papua,46.0,2.0,126.0,302.0,,,2020
