wilayah,rs_umum,rs_khusus,puskesmas_rawat_inap,puskesmas_non_rawat_inap,tahun
Aceh,77.0,9,174.0,192.0,2025
Sumatera Utara,185.0,23,178.0,441.0,2025
Sumatera Barat,53.0,30,108.0,172.0,2025
Riau,67.0,14,120.0,122.0,2025
Jambi,42.0,3,98.0,110.0,2025
Sumatera Selatan,72.0,17,110.0,244.0,2025
Bengkulu,25.0,3,52.0,127.0,2025
Lampung,64.0,19,162.0,160.0,2025
Kepulauan Bangka Belitung,25.0,4,25.0,39.0,2025
Kepulauan Riau,34.0,5,28.0,68.0,2025
DKI Jakarta,142.0,52,2.0,42.0,2025
Jawa Barat,382.0,54,279.0,827.0,2025
Jawa Tengah,317.0,52,369.0,512.0,2025
DI Yogyakarta,64.0,16,47.0,74.0,2025
Jawa Timur,358.0,84,622.0,354.0,2025
Banten,111.0,25,63.0,190.0,2025
Bali,66.0,16,38.0,82.0,2025
Nusa Tenggara Barat,39.0,7,154.0,23.0,2025
Nusa Tenggara Timur,64.0,3,186.0,255.0,2025
Kalimantan Barat,51.0,8,140.0,112.0,2025
Kalimantan Tengah,31.0,3,85.0,120.0,2025
Kalimantan Selatan,44.0,8,52.0,190.0,2025
Kalimantan Timur,54.0,12,91.0,97.0,2025
Kalimantan Utara,17.0,0,20.0,38.0,2025
Sulawesi Utara,52.0,8,99.0,104.0,2025
Sulawesi Tengah,37.0,4,125.0,94.0,2025
Sulawesi Selatan,100.0,24,306.0,168.0,2025
Sulawesi Tenggara,39.0,4,109.0,199.0,2025
Gorontalo,21.0,1,24.0,71.0,2025
Sulawesi Barat,14.0,2,59.0,39.0,2025
Maluku,28.0,1,94.0,147.0,2025
Maluku Utara,21.0,2,57.0,93.0,2025
Papua Barat,14.0,0,26.0,55.0,2025
Papua Barat Daya,12.0,0,18.0,101.0,2025
Papua,18.0,1,44.0,79.0,2025
Papua Selatan,8.0,0,59.0,26.0,2025
Papua Tengah,14.0,0,29.0,98.0,2025
Papua Pegunungan,8.0,0,23.0,160.0,2025
