wilayah,penduduk,tahun
Kabupaten Pacitan,588569,2024
Kabupaten Ponorogo,962941,2024
Kabupaten Trenggalek,744516,2024
Kabupaten Tulungagung,1113847,2024
Kabupaten Blitar,1263645,2024
Kabupaten Kediri,1689916,2024
Kabupaten Malang,2735993,2024
Kabupaten Lumajang,1145849,2024
Kabupaten Jember,2603817,2024
Kabupaten Banyuwangi,1754393,2024
Kabupaten Bondowoso,792309,2024
Kabupaten Situbondo,700719,2024
Kabupaten Probolinggo,1185242,2024
Kabupaten Pasuruan,1657216,2024
Kabupaten Sidoarjo,2171480,2024
Kabupaten Mojokerto,1154257,2024
Kabupaten Jombang,1362697,2024
Kabupaten Nganjuk,1131777,2024
Kabupaten Madiun,757839,2024
Kabupaten Magetan,685500,2024
Kabupaten Ngawi,884086,2024
Kabupaten Bojonegoro,1325299,2024
Kabupaten Tuban,1225205,2024
Kabupaten Lamongan,1378147,2024
Kabupaten Gresik,1364019,2024
Kabupaten Bangkalan,1102522,2024
Kabupaten Sampang,1016254,2024
Kabupaten Pamekasan,884697,2024
Kabupaten Sumenep,1153188,2024
Kota Kediri,298227,2024
Kota Blitar,154867,2024
Kota Malang,872694,2024
Kota Probolinggo,249539,2024
Kota Pasuruan,219392,2024
Kota Mojokerto,137393,2024
Kota Madiun,201767,2024
Kota Surabaya,2921996,2024
Kota Batu,222685,2024
Kabupaten Pacitan,589034,2025
Kabupaten Ponorogo,966111,2025
Kabupaten Trenggalek,747614,2025
Kabupaten Tulungagung,1119588,2025
Kabupaten Blitar,1273451,2025
Kabupaten Kediri,1702262,2025
Kabupaten Malang,2755438,2025
Kabupaten Lumajang,1152264,2025
Kabupaten Jember,2620135,2025
Kabupaten Banyuwangi,1764540,2025
Kabupaten Bondowoso,796300,2025
Kabupaten Situbondo,704243,2025
Kabupaten Probolinggo,1193272,2025
Kabupaten Pasuruan,1669400,2025
Kabupaten Sidoarjo,2193692,2025
Kabupaten Mojokerto,1162696,2025
Kabupaten Jombang,1379371,2025
Kabupaten Nganjuk,1138604,2025
Kabupaten Madiun,760948,2025
Kabupaten Magetan,689209,2025
Kabupaten Ngawi,887172,2025
Kabupaten Bojonegoro,1330516,2025
Kabupaten Tuban,1231374,2025
Kabupaten Lamongan,1386390,2025
Kabupaten Gresik,1377287,2025
Kabupaten Bangkalan,1112956,2025
Kabupaten Sampang,1027538,2025
Kabupaten Pamekasan,893327,2025
Kabupaten Sumenep,1159397,2025
Kota Kediri,301202,2025
Kota Blitar,156330,2025
Kota Malang,879873,2025
Kota Probolinggo,252085,2025
Kota Pasuruan,222334,2025
Kota Mojokerto,138613,2025
Kota Madiun,203552,2025
Kota Surabaya,2931611,2025
Kota Batu,225120,2025
