wilayah,penduduk,kepadatan_per_km2,laju_pertumbuhan,tahun
Aceh,5274900.0,91.0,1.56,2020
Sumatera Utara,14799400.0,203.0,1.28,2020
Sumatera Barat,5534500.0,132.0,1.29,2020
Riau,6394100.0,73.0,1.4,2020
Jambi,3548200.0,71.0,1.34,2020
Sumatera Selatan,8467400.0,92.0,1.25,2020
Bengkulu,2010700.0,101.0,1.55,2020
Lampung,9007800.0,260.0,1.65,2020
Kepulauan Bangka Belitung,1455700.0,89.0,1.7,2020
Kepulauan Riau,2064600.0,252.0,2.02,2020
DKI Jakarta,10562100.0,15907.0,0.92,2020
Jawa Barat,48274200.0,1365.0,1.11,2020
Jawa Tengah,36516000.0,1113.0,1.17,2020
DI Yogyakarta,3668700.0,1171.0,0.58,2020
Jawa Timur,40665700.0,851.0,0.79,2020
Banten,11904600.0,1232.0,1.1,2020
Bali,4317400.0,747.0,1.01,2020
Nusa Tenggara Barat,5320100.0,286.0,1.63,2020
Nusa Tenggara Timur,5325600.0,109.0,1.25,2020
Kalimantan Barat,5414400.0,37.0,2.04,2020
Kalimantan Tengah,2670000.0,17.0,1.84,2020
Kalimantan Selatan,4073600.0,105.0,1.13,2020
Kalimantan Timur,3766000.0,29.0,2.13,2020
Kalimantan Utara,701800.0,9.0,,2020
Sulawesi Utara,2621900.0,189.0,1.4,2020
Sulawesi Tengah,2985700.0,48.0,1.22,2020
Sulawesi Selatan,9073500.0,194.0,1.18,2020
Sulawesi Tenggara,2624900.0,69.0,1.58,2020
Gorontalo,1171700.0,104.0,1.16,2020
Sulawesi Barat,1419200.0,85.0,1.98,2020
Maluku,1848900.0,39.0,1.83,2020
Maluku Utara,1282900.0,40.0,2.07,2020
Papua Barat,1134100.0,11.0,3.94,2020
Papua,4303700.0,13.0,4.13,2020
