wilayah,tahun,total_rs,penduduk,rs_per_100rb
Pacitan,2024,3.0,588569,0.5097108410398781
Ponorogo,2024,8.0,962941,0.8307881791303933
Trenggalek,2024,3.0,744516,0.4029463436648776
Tulungagung,2024,10.0,1113847,0.8977893732263049
Blitar,2024,8.0,1263645,0.6330891983112346
Kediri,2024,9.0,1689916,0.5325708496753685
Malang,2024,24.0,2735993,0.8771952267421738
Lumajang,2024,8.0,1145849,0.6981722722627501
Jember,2024,14.0,2603817,0.5376721943208759
Banyuwangi,2024,13.0,1754393,0.7409970286019153
Bondowoso,2024,3.0,792309,0.3786401517589728
Situbondo,2024,7.0,700719,0.9989739110827593
Probolinggo,2024,5.0,1185242,0.4218547773366114
Pasuruan,2024,9.0,1657216,0.5430794778713215
Sidoarjo,2024,25.0,2171480,1.15128852211395
Mojokerto,2024,11.0,1154257,0.9529940039349989
Jombang,2024,14.0,1362697,1.0273743906385646
Nganjuk,2024,4.0,1131777,0.3534265142338111
Madiun,2024,3.0,757839,0.3958624457173621
Magetan,2024,3.0,685500,0.437636761487965
Ngawi,2024,5.0,884086,0.5655558395902661
Bojonegoro,2024,10.0,1325299,0.7545467098367991
Tuban,2024,6.0,1225205,0.48971396623422203
Lamongan,2024,19.0,1378147,1.378662798670969
Gresik,2024,19.0,1364019,1.39294247367522
Bangkalan,2024,4.0,1102522,0.36280455174590626
Sampang,2024,3.0,1016254,0.2952017901036552
Pamekasan,2024,6.0,884697,0.6781982984004693
Sumenep,2024,,1153188,
Kota Kediri,2024,10.0,298227,3.3531504525076534
Kota Blitar,2024,5.0,154867,3.2285767787843764
Kota Malang,2024,14.0,872694,1.6042278278526034
Kota Probolinggo,2024,3.0,249539,1.202216887941364
Kota Pasuruan,2024,2.0,219392,0.911610268378063
Kota Mojokerto,2024,6.0,137393,4.367034710647558
Kota Madiun,2024,8.0,201767,3.9649694945159517
Kota Surabaya,2024,47.0,2921996,1.6084895393422851
Kota Batu,2024,5.0,222685,2.2453241125356445
Pacitan,2025,3.0,589034,0.5093084609716926
Ponorogo,2025,7.0,966111,0.7245544249056267
Trenggalek,2025,2.0,747614,0.26751772973753835
Tulungagung,2025,10.0,1119588,0.8931857075995813
Blitar,2025,8.0,1273451,0.6282141990543806
Kediri,2025,9.0,1702262,0.5287082716996561
Malang,2025,24.0,2755438,0.8710049001284007
Lumajang,2025,7.0,1152264,0.6074996702144647
Jember,2025,13.0,2620135,0.4961576407322523
Banyuwangi,2025,13.0,1764540,0.736735919843132
Bondowoso,2025,3.0,796300,0.37674243375612204
Situbondo,2025,6.0,704243,0.8519786494150456
Probolinggo,2025,5.0,1193272,0.41901594942309883
Pasuruan,2025,9.0,1669400,0.5391158500059902
Sidoarjo,2025,25.0,2193692,1.1396312700233213
Mojokerto,2025,11.0,1162696,0.946077048514831
Jombang,2025,13.0,1379371,0.9424585553850269
Nganjuk,2025,4.0,1138604,0.351307390453573
Madiun,2025,3.0,760948,0.39424507325073466
Magetan,2025,3.0,689209,0.43528160543463595
Ngawi,2025,3.0,887172,0.33815314279530917
Bojonegoro,2025,10.0,1330516,0.751588105667275
Tuban,2025,6.0,1231374,0.4872605723362683
Lamongan,2025,17.0,1386390,1.226206190177367
Gresik,2025,19.0,1377287,1.3795236577416328
Bangkalan,2025,4.0,1112956,0.35940324684893205
Sampang,2025,3.0,1027538,0.29196000537206407
Pamekasan,2025,6.0,893327,0.6716465527180976
Sumenep,2025,4.0,1159397,0.3450069303267129
Kota Kediri,2025,10.0,301202,3.3200310754908666
Kota Blitar,2025,5.0,156330,3.1983624384315235
Kota Malang,2025,15.0,879873,1.7047914869532306
Kota Probolinggo,2025,2.0,252085,0.79338318424341
Kota Pasuruan,2025,2.0,222334,0.8995475275936204
Kota Mojokerto,2025,6.0,138613,4.328598327718179
Kota Madiun,2025,7.0,203552,3.4389246973746266
Kota Surabaya,2025,46.0,2931611,1.5691031313499644
Kota Batu,2025,5.0,225120,2.221037668798863
