wilayah,total_rs,penduduk,rs_per_100rb
Aceh,86.0,5626000.0,1.5286171347316033
Sumatera Utara,208.0,15785800.0,1.3176399042177147
Sumatera Barat,83.0,5914300.0,1.4033782527095344
Riau,81.0,6811200.0,1.1892177589852009
Jambi,45.0,3768500.0,1.1941090619609924
Sumatera Selatan,89.0,8928500.0,0.9968079744637958
Bengkulu,28.0,2138000.0,1.3096351730589337
Lampung,83.0,9522900.0,0.871583236199057
Kepulauan Bangka Belitung,29.0,1550800.0,1.8700025793139026
Kepulauan Riau,39.0,2213500.0,1.7619155184097581
DKI Jakarta,194.0,10678000.0,1.8168196291440344
Jawa Barat,436.0,50759000.0,0.8589609724383853
Jawa Tengah,369.0,38233900.0,0.9651121125493345
DI Yogyakarta,80.0,3781500.0,2.1155626074309137
Jawa Timur,442.0,42089300.0,1.0501481374125967
Banten,136.0,12537400.0,1.0847544147909456
Bali,82.0,4461300.0,1.8380292739784367
Nusa Tenggara Barat,46.0,5731100.0,0.8026382369876638
Nusa Tenggara Timur,67.0,5742600.0,1.1667189078117925
Kalimantan Barat,59.0,5766000.0,1.023239680887964
Kalimantan Tengah,34.0,2845000.0,1.195079086115993
Kalimantan Selatan,52.0,4323300.0,1.2027849096754795
Kalimantan Timur,66.0,4267600.0,1.5465366950979473
Kalimantan Utara,17.0,749400.0,2.268481451828129
Sulawesi Utara,60.0,2721400.0,2.204747556404792
Sulawesi Tengah,41.0,3156100.0,1.2990716390481925
Sulawesi Selatan,124.0,9563100.0,1.2966506676705252
Sulawesi Tenggara,43.0,2836700.0,1.515845877251736
Gorontalo,22.0,1242200.0,1.7710513604894542
Sulawesi Barat,16.0,1525300.0,1.0489739723333116
Maluku,29.0,1970600.0,1.4716330051760886
Maluku Utara,23.0,1373800.0,1.674188382588441
Papua Barat,14.0,587600.0,2.382573179033356
Papua Barat Daya,12.0,636400.0,1.8856065367693275
Papua,19.0,1073600.0,1.769746646795827
Papua Selatan,8.0,549700.0,1.4553392759687103
Papua Tengah,14.0,1492300.0,0.9381491657173491
Papua Pegunungan,8.0,1484900.0,0.5387568186409859
