wilayah,defisit_awal,rs_baru_dialokasikan,skor_risiko_norm,defisit_tersisa
Sampang,8.0,8,0.967,0.0
Nganjuk,8.0,8,0.886,0.0
Sumenep,8.0,8,0.894,0.0
Ngawi,6.0,6,0.904,0.0
Trenggalek,6.0,6,1.0,0.0
Bangkalan,8.0,4,0.875,4.0
Pasuruan,8.0,0,0.629,8.0
Kediri,9.0,0,0.643,9.0
Jember,14.0,0,0.688,14.0
Tuban,7.0,0,0.7,7.0
Probolinggo,7.0,0,0.793,7.0
Banyuwangi,5.0,0,0.359,5.0
Bondowoso,5.0,0,0.851,5.0
Blitar,5.0,0,0.508,5.0
Madiun,5.0,0,0.827,5.0
Lumajang,5.0,0,0.536,5.0
Bojonegoro,4.0,0,0.339,4.0
Malang,4.0,0,0.176,4.0
Magetan,4.0,0,0.771,4.0
Pamekasan,3.0,0,0.448,3.0
Pacitan,3.0,0,0.67,3.0
Ponorogo,3.0,0,0.376,3.0
Tulungagung,2.0,0,0.146,2.0
Situbondo,2.0,0,0.202,2.0
Mojokerto,1.0,0,0.074,1.0
Jombang,1.0,0,0.079,1.0
Kota Probolinggo,1.0,0,0.282,1.0
Kota Pasuruan,1.0,0,0.137,1.0
Sidoarjo,0.0,0,0.0,0.0
Lamongan,0.0,0,0.0,0.0
Kota Kediri,0.0,0,0.0,0.0
Gresik,0.0,0,0.0,0.0
Kota Malang,0.0,0,0.0,0.0
Kota Blitar,0.0,0,0.0,0.0
Kota Mojokerto,0.0,0,0.0,0.0
Kota Madiun,0.0,0,0.0,0.0
Kota Surabaya,0.0,0,0.0,0.0
Kota Batu,0.0,0,0.0,0.0
