wilayah,defisit_awal,rs_baru_dialokasikan,defisit_tersisa
Jember,14.0,0,14.0
Kediri,9.0,0,9.0
Bangkalan,8.0,4,4.0
Nganjuk,8.0,4,4.0
Pasuruan,8.0,0,8.0
Sampang,8.0,4,4.0
Sumenep,8.0,4,4.0
Tuban,7.0,0,7.0
Probolinggo,7.0,4,3.0
Ngawi,6.0,4,2.0
Trenggalek,6.0,4,2.0
Banyuwangi,5.0,0,5.0
Bondowoso,5.0,4,1.0
Blitar,5.0,0,5.0
Madiun,5.0,4,1.0
Lumajang,5.0,0,5.0
Bojonegoro,4.0,0,4.0
Malang,4.0,0,4.0
Magetan,4.0,4,0.0
Pamekasan,3.0,0,3.0
Pacitan,3.0,0,3.0
Ponorogo,3.0,0,3.0
Tulungagung,2.0,0,2.0
Situbondo,2.0,0,2.0
Mojokerto,1.0,0,1.0
Jombang,1.0,0,1.0
Kota Probolinggo,1.0,0,1.0
Kota Pasuruan,1.0,0,1.0
Sidoarjo,0.0,0,0.0
Lamongan,0.0,0,0.0
Kota Kediri,0.0,0,0.0
Gresik,0.0,0,0.0
Kota Malang,0.0,0,0.0
Kota Blitar,0.0,0,0.0
Kota Mojokerto,0.0,0,0.0
Kota Madiun,0.0,0,0.0
Kota Surabaya,0.0,0,0.0
Kota Batu,0.0,0,0.0
