wilayah,tahun,total_rs,penduduk,rs_per_100rb,rs_ideal,defisit_rs,skor_risiko,skor_risiko_norm
Jember,2025,13.0,2620135,0.4961576407322523,27.0,14.0,0.5038423592677477,0.687856047474312
Kediri,2025,9.0,1702262,0.5287082716996561,18.0,9.0,0.47129172830034394,0.6434172504018036
Bangkalan,2025,4.0,1112956,0.359403246848932,12.0,8.0,0.640596753151068,0.8745559847087228
Nganjuk,2025,4.0,1138604,0.351307390453573,12.0,8.0,0.6486926095464269,0.8856086159109197
Pasuruan,2025,9.0,1669400,0.5391158500059902,17.0,8.0,0.46088414999400984,0.6292086084607436
Sampang,2025,3.0,1027538,0.291960005372064,11.0,8.0,0.708039994627936,0.9666308979386387
Sumenep,2025,4.0,1159397,0.3450069303267129,12.0,8.0,0.6549930696732871,0.8942101348590883
Tuban,2025,6.0,1231374,0.4872605723362683,13.0,7.0,0.5127394276637317,0.7000025099310702
Probolinggo,2025,5.0,1193272,0.4190159494230988,12.0,7.0,0.5809840505769013,0.7931714857326501
Ngawi,2025,3.0,887172,0.3381531427953091,9.0,6.0,0.6618468572046909,0.9035670678657372
Trenggalek,2025,2.0,747614,0.2675177297375383,8.0,6.0,0.7324822702624617,1.0
Banyuwangi,2025,13.0,1764540,0.736735919843132,18.0,5.0,0.263264080156868,0.3594135869835261
Bondowoso,2025,3.0,796300,0.376742433756122,8.0,5.0,0.623257566243878,0.8508841668216125
Blitar,2025,8.0,1273451,0.6282141990543806,13.0,5.0,0.3717858009456194,0.5075696928642407
Madiun,2025,3.0,760948,0.3942450732507346,8.0,5.0,0.6057549267492655,0.8269892000692556
Lumajang,2025,7.0,1152264,0.6074996702144647,12.0,5.0,0.3925003297855353,0.5358495976221995
Bojonegoro,2025,10.0,1330516,0.751588105667275,14.0,4.0,0.24841189433272504,0.3391370745993818
Malang,2025,24.0,2755438,0.8710049001284007,28.0,4.0,0.1289950998715993,0.17610678798461293
Magetan,2025,3.0,689209,0.4352816054346359,7.0,4.0,0.5647183945653641,0.7709652745083034
Pamekasan,2025,6.0,893327,0.6716465527180976,9.0,3.0,0.3283534472819024,0.4482749420873319
Pacitan,2025,3.0,589034,0.5093084609716926,6.0,3.0,0.4906915390283074,0.669902274702818
Ponorogo,2025,7.0,966111,0.7245544249056267,10.0,3.0,0.2754455750943733,0.37604401673186727
Tulungagung,2025,10.0,1119588,0.8931857075995813,12.0,2.0,0.10681429240041873,0.14582508920269868
Situbondo,2025,6.0,704243,0.8519786494150456,8.0,2.0,0.14802135058495436,0.20208182039944206
Mojokerto,2025,11.0,1162696,0.946077048514831,12.0,1.0,0.05392295148516901,0.0736167326833009
Jombang,2025,13.0,1379371,0.9424585553850268,14.0,1.0,0.057541444614973236,0.07855677461565737
Kota Probolinggo,2025,2.0,252085,0.79338318424341,3.0,1.0,0.20661681575658997,0.2820775657580837
Kota Pasuruan,2025,2.0,222334,0.8995475275936204,3.0,1.0,0.10045247240637956,0.13713980049016833
Sidoarjo,2025,25.0,2193692,1.139631270023321,22.0,0.0,0.0,0.0
Lamongan,2025,17.0,1386390,1.226206190177367,14.0,0.0,0.0,0.0
Kota Kediri,2025,10.0,301202,3.320031075490866,4.0,0.0,0.0,0.0
Gresik,2025,19.0,1377287,1.3795236577416328,14.0,0.0,0.0,0.0
Kota Malang,2025,15.0,879873,1.7047914869532306,9.0,0.0,0.0,0.0
Kota Blitar,2025,5.0,156330,3.1983624384315235,2.0,0.0,0.0,0.0
Kota Mojokerto,2025,6.0,138613,4.328598327718179,2.0,0.0,0.0,0.0
Kota Madiun,2025,7.0,203552,3.4389246973746266,3.0,0.0,0.0,0.0
Kota Surabaya,2025,46.0,2931611,1.5691031313499644,30.0,0.0,0.0,0.0
Kota Batu,2025,5.0,225120,2.221037668798863,3.0,0.0,0.0,0.0
