Kabupaten/Kota,Number of General Hospital,Number of Specialized Hospital,Number of Public Health Center with Inpatient Care,Number of Public Health Center without Inpatient Care,Number of Primary Clinic,Number of Integrated Health Post
Pacitan,3,–,15,9,18,861
Ponorogo,7,–,19,13,53,1137
Trenggalek,3,1,19,3,19,865
Tulungagung,10,3,17,15,52,1239
Blitar,8,–,16,9,26,1385
Kediri,9,2,8,29,61,1717
Malang,24,2,39,–,115,2888
Lumajang,8,–,25,–,35,1310
Jember,12,2,46,4,106,2895
Banyuwangi,13,–,18,27,71,2325
Bondowoso,4,–,25,–,20,1104
Situbondo,6,3,17,3,20,945
Probolinggo,5,1,20,13,23,1349
Pasuruan,10,1,17,16,70,1934
Sidoarjo,26,7,14,17,201,1866
Mojokerto,12,–,17,10,58,1286
Jombang,13,2,20,14,42,1592
Nganjuk,4,–,14,6,39,1292
Madiun,3,–,10,16,11,877
Magetan,3,3,19,3,17,904
Ngawi,5,–,21,3,21,1225
Bojonegoro,10,1,26,9,34,1656
Tuban,6,–,8,25,37,1417
Lamongan,18,2,31,1,67,1750
Gresik,20,1,16,16,105,1516
Bangkalan,3,5,21,1,18,1160
Sampang,5,–,21,1,19,1055
Pamekasan,6,2,21,–,30,998
Sumenep,5,1,31,–,20,1493
Kota Kediri,9,4,3,6,43,307
Kota Blitar,5,1,–,3,24,108
Kota Malang,16,13,–,16,115,644
Kota Probolinggo,4,1,2,4,26,219
Kota Pasuruan,2,–,–,8,26,278
Kota Mojokerto,6,–,–,6,24,176
Kota Madiun,8,2,–,6,40,260
Kota Surabaya,46,23,23,40,377,2191
Kota Batu,5,1,3,2,13,193
Jawa Timur,362,84,622,354,2096,46417
,,,,,,
Keterangan,,,,,,
"<sup>1</sup> RS Bersalin Tahun 2024 sudah tidak ada, RSIA (RS ibu dan anak) masuk dalam kategori RS Khusus/<i> In 2024, the Maternity Hospital will",,,,,,
"no longer exist, RSIA (Mother and Child Hospital) is included in the Special Hospital category</i>",,,,,,
"<sup>2 </sup>Klinik Pratama kondisi data per 11 Januari 2025 / <i>Pratama Clinic data condition as of January 11, 2025</i>",,,,,,
