wilayah,total_rs_2020,penduduk_2020,total_rs_2025,penduduk_2025,growth_rs_pct,growth_pop_pct,gap
Aceh,70.0,5274900.0,86.0,5626000.0,22.857142857142865,6.656050351665432,-16.201092505477433
Sumatera Utara,220.0,14799400.0,208.0,15785800.0,-5.454545454545457,6.665135073043493,12.119680527588951
Sumatera Barat,79.0,5534500.0,83.0,5914300.0,5.063291139240511,6.862408528322339,1.799117389081828
Riau,74.0,6394100.0,81.0,6811200.0,9.459459459459453,6.523201075991936,-2.936258383467517
Jambi,42.0,3548200.0,45.0,3768500.0,7.14285714285714,6.208781917592021,-0.9340752252651185
Sumatera Selatan,86.0,8467400.0,89.0,8928500.0,3.488372093023262,5.445591326735477,1.9572192337122152
Bengkulu,24.0,2010700.0,28.0,2138000.0,16.666666666666675,6.3311284627244335,-10.335538203942242
Lampung,80.0,9007800.0,83.0,9522900.0,3.750000000000009,5.718377406247921,1.968377406247912
Kepulauan Bangka Belitung,25.0,1455700.0,29.0,1550800.0,15.999999999999993,6.532939479288324,-9.46706052071167
Kepulauan Riau,36.0,2064600.0,39.0,2213500.0,8.333333333333325,7.212050760437849,-1.1212825728954758
DKI Jakarta,192.0,10562100.0,194.0,10678000.0,1.041666666666674,1.0973196618096814,0.05565299514300737
Jawa Barat,376.0,48274200.0,436.0,50759000.0,15.957446808510634,5.147262927195073,-10.81018388131556
Jawa Tengah,310.0,36516000.0,369.0,38233900.0,19.03225806451614,4.704513090152251,-14.327744974363888
DI Yogyakarta,83.0,3668700.0,80.0,3781500.0,-3.6144578313253017,3.0746585984136043,6.689116429738906
Jawa Timur,392.0,40665700.0,442.0,42089300.0,12.755102040816336,3.5007389519914778,-9.254363088824858
Banten,119.0,11904600.0,136.0,12537400.0,14.28571428571428,5.315592292055182,-8.970121993659097
Bali,77.0,4317400.0,82.0,4461300.0,6.493506493506485,3.3330245054894236,-3.160481988017061
Nusa Tenggara Barat,39.0,5320100.0,46.0,5731100.0,17.948717948717952,7.7254186951373205,-10.223299253580631
Nusa Tenggara Timur,53.0,5325600.0,67.0,5742600.0,26.415094339622634,7.83010365029293,-18.584990689329704
Kalimantan Barat,54.0,5414400.0,59.0,5766000.0,9.259259259259256,6.493794326241131,-2.7654649330181247
Kalimantan Tengah,27.0,2670000.0,34.0,2845000.0,25.92592592592593,6.554307116104874,-19.371618809821058
Kalimantan Selatan,46.0,4073600.0,52.0,4323300.0,13.043478260869556,6.129713275726623,-6.913764985142933
Kalimantan Timur,56.0,3766000.0,66.0,4267600.0,17.85714285714286,13.319171534784925,-4.5379713223579365
Kalimantan Utara,,701800.0,17.0,749400.0,,6.782559133656307,
Sulawesi Utara,49.0,2621900.0,60.0,2721400.0,22.44897959183674,3.794957854990666,-18.654021736846072
Sulawesi Tengah,40.0,2985700.0,41.0,3156100.0,2.499999999999991,5.70720434069063,3.207204340690639
Sulawesi Selatan,114.0,9073500.0,124.0,9563100.0,8.771929824561408,5.395933212101167,-3.3759966124602405
Sulawesi Tenggara,37.0,2624900.0,43.0,2836700.0,16.216216216216207,8.068878814431034,-8.147337401785173
Gorontalo,16.0,1171700.0,22.0,1242200.0,37.5,6.016898523512837,-31.483101476487164
Sulawesi Barat,12.0,1419200.0,16.0,1525300.0,33.33333333333333,7.4760428410372,-25.85729049229613
Maluku,31.0,1848900.0,29.0,1970600.0,-6.451612903225811,6.582292173724924,13.033905076950735
Maluku Utara,21.0,1282900.0,23.0,1373800.0,9.523809523809534,7.085509392781986,-2.4383001310275487
